RegNo,Manufacturer,CarModel,YearOfPurchase
JTEBU4BF0DK004240,Toyota,Lamborghini,2005
WAUA2AFD3EN380568,Subaru,Cadillac,2005
WAUHF98P68A303505,Suzuki,Acura,2004
137FA84311E506163,Volkswagen,Ford,2011
WVGFF9BP9BD659676,Toyota,Chevrolet,1998
4T3BA3BBXBU548771,Chevrolet,Lexus,1989
1N6AA0CA4DN377491,Nissan,Lincoln,1991
3D73M3CL4BG187465,Nissan,Ford,1999
WAUSF78E86A677748,Mercedes-Benz,Dodge,2009
WBAWR3C54AP516022,Kia,Ford,2009
4T1BK1EB3EU473521,Cadillac,Hyundai,2007
JM1NC2MF7D0674854,Volvo,Mercedes-Benz,2007
WBAFV3C59ED091271,Volkswagen,Infiniti,2010
JH4CU4F4XAC902415,BMW,Bentley,2004
WBAWC7C5XAP669495,Aptera,Toyota,2010
1G4GG5G32DF820232,Land Rover,Chevrolet,1995
WAULC58E72A191198,GMC,Dodge,2007
WBANV13548B560749,Pontiac,Ford,1999
TRUTC28NX31399083,Mercedes-Benz,GMC,2001
1YVHZ8BH7A5255219,Mercedes-Benz,Suzuki,2005
JA32X2HU3BU193794,Chevrolet,Ford,1999
WAUPEAFM9DA775846,Lexus,Mercury,1989
WP0AB2A8XFK707232,Dodge,Chevrolet,2006
3C4PDCBB6CT540124,Mercedes-Benz,Mercury,2011
1FTMF1E85AF185419,Rolls-Royce,Chevrolet,2010
WA1AV74L29D687310,Mercedes-Benz,Acura,2011
JH4DC538X6S674546,Lexus,Mitsubishi,2010
WBAAV33481E839644,Chevrolet,Volvo,2010
1G6DH577380676886,Pontiac,Pontiac,1966
WA1YL64B94N064601,Dodge,Lamborghini,2000
1N4AA5AP7BC519449,Chevrolet,Toyota,2002
WA1DGBFE5BD664943,Buick,GMC,1985
3GYFNEE37DS994991,Kia,Mercedes-Benz,2009
WUAAU34219N881431,Mitsubishi,Pontiac,1994
WAUBVAFB1BN534359,Chevrolet,Saab,2002
SALFP2BN1AH862522,Mazda,Mitsubishi,1998
WAUGL68E35A510155,Mazda,Audi,1993
YV1902FH5D2189863,Nissan,Volkswagen,1995
WBSBR93482E782449,Maserati,Jensen,1990
WAUGL98EX7A667055,Lotus,Mercedes-Benz,2011
5N1BA0ND6FN669446,Ford,GMC,2003
3G5DA03L56S065942,Ford,Chevrolet,2005
1FTEX1CM7BK315386,Porsche,BMW,2010
JTDZN3EU5EJ367032,Cadillac,Chevrolet,2007
WBAEW53434P208299,GMC,Subaru,2004
1FTEW1CW9AF742452,Chevrolet,Ford,2000
WA1AY94L38D091673,GMC,Lotus,2006
1B3CB3HAXBD714916,Eagle,Dodge,1993
1GD21ZCG7CZ195173,Nissan,Lexus,2009
1FTSW2A53AE530199,Volkswagen,Ford,1986
4T1BK3DB5BU714990,Lincoln,GMC,1993
1G6KD57YX6U968407,Acura,Toyota,1999
1GYUCEEJ9AR900037,Buick,Acura,2006
1G4HP54K244787826,Pontiac,Kia,2008
1C4RDHAG5DC455369,Mazda,Ford,1996
3D73M4CL1BG373051,Nissan,Mercedes-Benz,1992
WA1WMAFE3CD671600,Ford,Chevrolet,1991
1FTEX1C84AF054342,Mercedes-Benz,Ford,1986
WDDUG7GB1FA283692,GMC,Plymouth,1993
1FTEX1E83AF273984,Volvo,Mitsubishi,1999
1G6DP577270479371,Pontiac,Mazda,1990
1G6YV36A765567942,Chevrolet,Acura,2005
JTJHY7AX2A4208114,Mitsubishi,GMC,1994
JM1BL1L34D1494911,Audi,Ford,2011
1G6DL67A990172067,Ford,Dodge,1985
SALVN2BGXFH996827,Porsche,Infiniti,1987
SCFFDCCD8AG947084,Nissan,Hyundai,2007
JN8AE2KPXC9322760,Mazda,Isuzu,1992
JN1CV6FE3FM325833,GMC,Mitsubishi,1995
4USDU53578L126547,Lamborghini,GMC,2012
1C6RD7JT3CS887218,BMW,Toyota,1999
1N6AD0CU0BC227162,Honda,Chevrolet,1998
KNADM5A35D6433311,BMW,GMC,2008
WAUMFAFR3FA921981,Volkswagen,Honda,1990
JN1AZ4EH0DM757336,Ford,Dodge,2012
SCBLE47K98C843592,Mercury,Volkswagen,2002
1C4SDHCT0DC093480,Mercedes-Benz,Jaguar,2010
WAUXD68D62A089015,Toyota,Dodge,1993
1FTNS2EW6AD380803,Saab,Infiniti,2011
5YMGY0C50CL090873,Chevrolet,GMC,2012
WBA3B3G51FN814032,Dodge,Ford,1981
JN1AZ4EH5CM438173,Porsche,Infiniti,1986
1G4HE5EM8AU433584,Lincoln,Ford,1985
WBAGN63564D478641,Toyota,Nissan,2001
WDDNG9FB9DA236666,Ram,Nissan,2011
5FNYF3H45FB129808,Suzuki,Mercedes-Benz,1995
1G6DV1EP4F0907134,Mazda,Audi,1993
YV4940BL8D1422162,Chrysler,BMW,2000
YV126MEDXF1477641,Ford,GMC,2011
2T1BURHEXFC370825,Dodge,Volvo,2001
JHMFA3F23AS697315,Volkswagen,Porsche,1987
1G6AB5SX8F0716775,Ford,Suzuki,2005
WBSPM9C57BE690150,Honda,Porsche,1988
1G6KF54965U534295,Nissan,Ford,2005
JN8AZ2KR7AT131089,Honda,Honda,2006
TRUDD38J981459107,Honda,Jeep,1999
WBAFU9C56CC715522,Oldsmobile,Toyota,1996
WA1YD64B03N966937,Chevrolet,Volvo,1963
WVWED7AJ5CW797647,Audi,Land Rover,2010
JH4NA12604T518137,Volvo,Mercury,2005
4JGBB2FB8AA525158,Volvo,BMW,2008
JTHBB1BA4B2905104,Oldsmobile,Daihatsu,1997
5UMCN93452L665006,Ford,Mercedes-Benz,1992
1FTEX1CM9DF005297,BMW,Land Rover,1996
WBALM5C58BE973720,Audi,Suzuki,2000
WBA3B9C54EJ220503,Dodge,Lotus,2008
19VDE1F53FE457261,Dodge,Buick,2007
JN1AY1AP2DM031086,Chrysler,Mercedes-Benz,1995
SAJWA4EC2BM353886,Nissan,Toyota,1992
2C3CDZBT1FH823056,Cadillac,Toyota,1996
JH4CU2F69BC045947,Mercedes-Benz,Chrysler,2001
YV126MFJ2F1183798,Ford,BMW,2002
KMHFC4DF0BA849576,Dodge,GMC,2010
3GTXKYEJ3AG701721,GMC,Chevrolet,1998
JH4DC54834S027126,GMC,Mercedes-Benz,1997
1D7RB1CT3AS255346,Ford,Chevrolet,2009
1GYEE637390702596,Jeep,Cadillac,2006
JH4KA96614C725468,Plymouth,Acura,2001
WUAUUAFG9EN958907,Jaguar,Ford,2001
JN8AF5MR9ET641375,Lincoln,Ford,2002
1C3CCBCG3DN438355,GMC,Bentley,1993
JHMZE2H37CS709308,Nissan,Isuzu,1992
1G6AJ1RX5F0134554,Chevrolet,Chrysler,1993
WBANW53508C354973,Lexus,Aston Martin,2008
1GYS3GEF4BR300221,Toyota,Pontiac,2004
YV126MEB8F1247126,Jensen,Mazda,1966
3VW1K7AJ4FM661600,Chevrolet,BMW,2000
WBA3B5C54FP045063,Honda,Volvo,2001
WA1CFBFPXBA057504,Subaru,Audi,1998
WDDNG7BB9AA906996,Ford,BMW,2001
WAUSF98E77A999942,Pontiac,Lexus,1977
WUADNAFGXAN064289,Isuzu,Dodge,2002
1G4GC5GR7CF936573,Toyota,Mitsubishi,1995
5TDBM5G15CS425563,Infiniti,Mitsubishi,1997
1FT7W2A69EE536903,GMC,Ford,2006
JA32U2FUXEU859467,Dodge,Mazda,1984
5UXFB93572L722484,Cadillac,Studebaker,1992
1G6DU6EV3A0956073,Chrysler,Volvo,2002
WBXPC9C44AW228528,Saturn,Chevrolet,2000
1G6DU6EA9A0416076,Pontiac,Aston Martin,2003
WUAW2BFC9FN091270,Volvo,BMW,2012
KMHGH4JH7FU567273,Nissan,GMC,2000
WDDGF4HB5EA178889,Isuzu,Pontiac,2003
WP0AA2A92CS797791,Lexus,Nissan,1998
WAU2GAFCXEN743140,Mazda,Mazda,1990
WP0CB2A8XCS332415,MINI,Kia,2011
TRUDD38J291371484,Chrysler,Ford,1996
WAUSH78E08A740340,Pontiac,Mercury,1983
WA1CFBFP0CA299574,GMC,Pontiac,2003
JN1AZ4EH8AM290503,Infiniti,GMC,1997
JTEBU4BF0EK054900,Bentley,Subaru,2008
1D7CE2BK6AS027871,Mercedes-Benz,Suzuki,1992
1G6KD57Y79U912428,GMC,Ferrari,2004
WAUKG74F76N298552,Suzuki,Chevrolet,1996
JM1NC2NF7E0905820,GMC,Ford,1995
WBA3A5G57CN116888,Audi,BMW,1992
WBABN33483J849007,Honda,Toyota,2011
SCFAD01E59G216662,Mercedes-Benz,Dodge,2006
1GYEE437080238458,Ford,Honda,1997
1G6KE57Y41U315786,Dodge,Buick,2005
WAUBFAFL9EA469228,Subaru,Mercedes-Benz,1997
2T3BFREV4FW340045,Dodge,Ford,1994
WAUEF98E28A003526,Ford,Isuzu,2006
WBSWD9C51AP244834,Pontiac,Toyota,1999
WAUKF78P19A660182,Mercury,Ford,1992
2C4RDGBG5DR239585,Lincoln,Ford,1998
WBASP4C5XCC144058,Lexus,Mercedes-Benz,2009
3VW467AT2CM869988,Dodge,Mitsubishi,2008
WAUJC68E14A831664,Dodge,Oldsmobile,2003
5N1AN0NU5AC813072,Toyota,Dodge,1993
WA1CMAFE7BD165785,Jensen,Jaguar,1967
2FMDK3GC3AB308852,Hyundai,Hyundai,2008
3VW467AT6DM005253,Jeep,Chevrolet,2006
WDDHF5KBXEA866440,Mitsubishi,Chevrolet,2001
SAJWA4DB7DL539845,Kia,Volvo,2003
1HGCR2E78FA106494,Nissan,Mitsubishi,1993
WAUVT68E35A345067,Volkswagen,Hyundai,1993
1C3CDFAA1DD968039,BMW,Mitsubishi,1997
5LMJJ3H52BE259218,Nissan,Ford,1993
WBAPK7C57BF137006,Ford,Aston Martin,2004
WAUVC58E32A725371,Toyota,Toyota,1997
2C3CA2CVXAH885144,Mitsubishi,Land Rover,1997
1G4GL5E38CF503682,Mercedes-Benz,Mercedes-Benz,2012
3N1CN7AP0EK812405,Suzuki,Land Rover,2003
1GYS3HEFXER108523,GMC,Oldsmobile,2004
SCFAD02A85G974128,Isuzu,Chevrolet,1998
WAUPN44E97N451466,Buick,Buick,2005
WVGAV3AX0EW694322,Cadillac,Dodge,2004
WDDLJ6FB8FA087614,Audi,Chrysler,1990
JN8AZ1MU8DW098277,Mercury,Peugeot,1999
WAUEKBFB9AN369493,Cadillac,Mitsubishi,2000
1FTEX1C82AF569100,Ford,Porsche,1972
KNAGM4AD1D5249926,Pontiac,Mazda,2003
2T2BC1BAXFC566043,Dodge,Jeep,1994
WP0AA2A92FS362046,Bentley,Mazda,2011
1GTC5MF92B8095564,GMC,Chevrolet,2012
1FMJK1F56BE746538,Nissan,Porsche,1996
1G6DA67V980212672,Porsche,Mazda,1987
JH4DC23961S080911,GMC,Smart,2012
WUAUUAFG5F7323673,Ford,Rolls-Royce,2013
SCBDC47L07C713346,Mercury,Chevrolet,2005
WBA3B3G57EN378138,Oldsmobile,Buick,1995
WAUJC68E65A623426,Chevrolet,Mazda,2009
WBABD53466P492152,Lexus,Buick,1989
JH4KB16618C326743,Honda,Volkswagen,1993
JTDKDTB36E1514992,Ford,GMC,1995
SAJWA0HP9EM517193,Pontiac,Toyota,1965
1C3CDFDHXFD104621,Subaru,Saab,2002
WBA4B3C52FD372426,Jeep,Hyundai,1998
3VW507AT0EM628293,Jaguar,Audi,1993
TRUWT28N721044951,GMC,BMW,2004
1FTEW1C82AF177012,Ford,Mitsubishi,2006
WAUGGAFC3DN839504,Bentley,Ford,2006
3C4PDDGG5FT623641,Mitsubishi,Volkswagen,1998
WAUMFAFL3AA017990,Toyota,Toyota,1993
WBAWL13547P503849,Toyota,Volkswagen,1994
WAUKF78E28A341466,Dodge,Ford,2008
2HNYD18681H641510,Dodge,Toyota,1997
JM1DE1KY6D0346085,Honda,Mitsubishi,2001
1FMJK1H54CE876980,Lincoln,Ford,2010
JTEBU5JR9A5015684,Ford,Mazda,1970
3LN6L2G96FR196080,GMC,Cadillac,2012
3N1AB6AP8BL900960,Mazda,Dodge,2005
2T1BURHE9EC085032,Audi,Land Rover,2004
3D73Y3HL8AG889526,Suzuki,Cadillac,2004
WBAGH03441D245493,Nissan,Pontiac,2003
SCBCC41NX9C838220,Pontiac,Lexus,1990
1GYFC562X9R404885,Dodge,Dodge,1994
5GAKVDKD1DJ068200,Land Rover,Bentley,2004
JA32X8HW2EU394885,GMC,Acura,2005
1G4GA5GR8CF828260,Mazda,Chevrolet,2001
5J8TB2H2XCA746819,Volvo,Buick,2003
SCFEFBBC7AG667553,GMC,Pontiac,2006
WBAYA8C5XFG240708,Suzuki,GMC,2004
5GALVBED3AJ526786,Lexus,Volvo,2006
1FTSX2A56AE505472,GMC,Kia,1994
1N6AF0KY5FN433117,Eagle,Volkswagen,1990
JN1CV6AP0BM130727,Subaru,Mercury,2006
1G6KD5EY2AU966484,Lexus,Mercedes-Benz,2007
WUATNAFG8BN658490,Infiniti,Dodge,2002
WAUJT58EX3A407960,Mazda,Ford,2012
3TMJU4GN4CM284266,Mazda,Chrysler,1999
1GYFC23299R813429,Chevrolet,Porsche,2010
2B3CK2CV2AH166870,Mitsubishi,Acura,2003
SCFAD01A35G233337,Mercedes-Benz,Aston Martin,1998
1G6DN57U770903655,Mitsubishi,Dodge,2012
SCFEDCAD0AG067947,Plymouth,Ford,1995
2C4RDGCG1FR454091,Mercedes-Benz,Audi,2007
1GYS4HEF3DR669822,Volkswagen,Lexus,1986
1HGCP2E82AA933270,BMW,Honda,1999
JN1CV6FE6AM312695,Volvo,Lotus,2004
WBAVD53568A079823,Cadillac,Chevrolet,2008
2T1BURHE8EC578331,GMC,Lamborghini,2001
JN8AZ2KR4CT203546,Cadillac,Mitsubishi,2008
WBA3F9C50EF364959,Dodge,Pontiac,2007
4JGBF2FE0CA614661,Acura,Rolls-Royce,2008
WBAHN83537D576921,Land Rover,Ford,1999
1FTEW1E87AK739474,Porsche,Mercury,1989
WVGAV7AX8BW396460,Acura,Dodge,2001
WVWDB7AJ6EW324988,Audi,Toyota,1986
WAUCVAFR5CA156122,Infiniti,Volvo,1994
JN8AE2KP8B9640813,Mazda,Jeep,1993
JN8AE2KP7F9246743,Saturn,Toyota,1995
SAJWJ0FF8F8968295,Lotus,Ford,1991
SCFAB02A17G597344,Chevrolet,Volkswagen,1960
2G4G05GV8B9392095,GMC,Chrysler,2005
2G61N5S37F9968057,Lexus,Toyota,1997
JN8AS5MT5FW593087,Ford,Mercedes-Benz,2009
YV126MFD3F1638832,Mercury,Chevrolet,2000
1D7RE2BK5BS392053,Subaru,Honda,1988
SCBZK25E21C535285,Hyundai,Ford,2012
JH4CW2H5XBC578002,Buick,Infiniti,1985
WBA6B2C54FD220618,Chevrolet,Volvo,1995
1GKUKFDJ8AR267339,Mazda,Buick,2010
4T1BF3EK7AU765635,Aston Martin,Mercury,2007
KNAFU6A28D5484295,BMW,Peugeot,1997
WBAET37494N111952,Volkswagen,Toyota,2001
2G4WY55J311643736,Ford,Chevrolet,1993
1GT01ZCG5CF661440,Dodge,Chevrolet,1999
3GYFK66N06G626561,Toyota,Hyundai,2007
2LMDJ6JK9BB431987,Lotus,Dodge,1986
WA1AY74L87D459641,Nissan,Buick,2001
WBAVB13536P953487,Lamborghini,Ford,2007
WAUDH78E96A852432,Toyota,Audi,1978
1GYS3DEF2BR717528,Chrysler,Buick,2011
WAUDF98E16A703319,Ford,Audi,2000
2HNYD2H48CH555380,Suzuki,Scion,1999
JN8AZ2NC0E9092047,Mitsubishi,Ford,1989
5LMJJ2H52DE027294,Chevrolet,Mercedes-Benz,2008
NM0KS7AN3AT036266,Dodge,Ford,1998
3VW507AT7EM766154,Volvo,Land Rover,2010
3MZBM1K78EM636681,Volkswagen,Honda,1993
WAUWFAFL1CA236796,Aston Martin,Mazda,2011
5UMBT93598L472795,Dodge,Mercedes-Benz,1996
1G6KA5EY4AU611938,Buick,Mitsubishi,1992
1C4PJLAB6FW339977,Isuzu,Chevrolet,2000
1FTEW1C89AF087100,Pontiac,Infiniti,2005
1D4PT7GX4BW816908,Ford,Cadillac,1970
WDDEJ9EB3EA983944,Dodge,Toyota,1997
1G6DP57V080828169,Pontiac,Mercedes-Benz,1988
JH4NA216X1T262172,GMC,Volvo,2001
JTHBS1BL6D5902823,Ford,Pontiac,2006
WAUEG98E06A991822,Nissan,Pontiac,2005
SCBDU3ZA3CC403026,Isuzu,Pontiac,1993
5UXWX9C50E0018943,Mercury,Volkswagen,2004
1D7RV1GP1BS805150,Honda,Dodge,2003
WAUVT68E65A817519,Mercedes-Benz,Toyota,2005
WAUDFAFL2AA942180,Dodge,Cadillac,1994
WBABW53415P961818,Mazda,Ford,2007
1C6RD7FP3CS062730,Lincoln,Chevrolet,2002
2HNYD18805H541196,Chevrolet,Chrysler,2000
JN8AZ2NC9D9736062,Mercedes-Benz,Chevrolet,2006
3LN6L2G94FR384855,Acura,Acura,1998
WBA3A5G5XCN617497,Saturn,Pontiac,1998
1D7RV1CP3BS637646,Nissan,Chevrolet,2010
1GYS4CEF5ER793059,Nissan,Panoz,2004
1GYS4EEJ0CR079840,Chrysler,Cadillac,1999
SALME1D4XAA477304,Dodge,Kia,1995
WAUFMAFC9FN243756,Jaguar,Volvo,2003
WAULT58E75A717754,Hyundai,Infiniti,2002
SCBLF34F23C979814,Ford,Lexus,1993
WAUBH78E07A978168,Pontiac,GMC,1961
1C4SDHCTXFC984198,Chrysler,Chevrolet,2008
3N1CN7AP3DL002159,Hyundai,Oldsmobile,2008
WBAVB73518P492084,Nissan,Audi,1997
WBAUP93598V821621,BMW,Infiniti,2012
WBAVT13566A702575,Ford,Isuzu,1980
3VWKP7AJ7CM070243,Chevrolet,Buick,2000
YV126MFC4F1224451,Bentley,Dodge,2008
SALFP2BG3FH937648,Ford,Pontiac,1999
19UUA56972A491179,Mitsubishi,Nissan,1994
WBA3A5C5XCF046321,Lincoln,Mazda,1987
WAUWFAFR3BA202619,Jeep,Nissan,2007
3D73M3CL9AG149017,Toyota,Volkswagen,2007
1G6DL8EG3A0875056,Mitsubishi,Mazda,2012
WAUAH98EX8A126788,Panoz,Nissan,2005
YV1612FH2E1921406,Infiniti,Chevrolet,2005
WBAPL5C59BA269506,Chevrolet,Dodge,1999
WDDHF2EB1DA808757,Pontiac,Buick,1992
3N1BC1CP5CK712910,Nissan,Chevrolet,2008
WAUSH78E86A059081,Chevrolet,GMC,2000
1G6D05EG1A0079462,GMC,Chrysler,2009
WDDEJ7GB2DA228932,Daihatsu,Isuzu,1992
5N1AA0NC3FN592053,Toyota,Ford,2011
WVGEF9BP3ED172229,Isuzu,Porsche,2007
1GYS3AEF0BR638986,Mazda,Chevrolet,1997
2V4RW3DGXBR098578,Dodge,Mercury,1994
WBADS43471G016638,Mercedes-Benz,Scion,2007
SALGR2VF2EA245714,Ford,Volkswagen,2002
KNADH4A30A6244530,Honda,Ford,1988
1GYS4MKJXFR631976,Mazda,Kia,1989
2T3BF4DV8AW580177,Buick,Volkswagen,2007
KNDKG3A21A7940113,Nissan,GMC,1998
1FTEX1C84AK497761,Dodge,Nissan,2007
1GYFK435X9R539246,Subaru,Mercedes-Benz,2011
1G4HR54K744579581,Lexus,Suzuki,2007
WBAEV33484P726657,Mercury,Mitsubishi,2005
JM1NC2PF1F0709015,Renault,Volkswagen,1983
JTHBE1KS2B0731125,Volkswagen,Lincoln,2001
2GKALMEK3D6647782,Audi,Acura,2006
WBAEV33474P256203,Cadillac,Mercedes-Benz,2009
5UXFG2C58E0332458,Suzuki,Pontiac,2011
WAUVVAFR6CA148961,Saab,Suzuki,1988
1G6KS54Y83U741870,Toyota,Infiniti,2008
2C3CCAHG2CH441810,Dodge,Jeep,2001
WBAKE5C54CJ179847,Volkswagen,Ford,2008
1G4HR54K83U318619,Volkswagen,Chevrolet,2002
1VWAH7A33CC744500,Volkswagen,Mazda,1984
WAU4FBFL4CA580121,BMW,Aston Martin,1998
KMHGN4JEXFU257777,Infiniti,Subaru,2000
1B3CB8HB2AD697940,Cadillac,Lexus,1998
WP0CB2A89CS425197,Subaru,Ford,1986
WAUVT54B24N339709,Mercedes-Benz,Nissan,1989
YV440MBC6F1286761,Toyota,Volkswagen,2012
WBAKX8C50BC075080,BMW,Ford,1999
1GD311CG7FZ528787,Saab,Mazda,1990
1HGCR2E76EA139850,Ford,Toyota,1969
KNAFU5A22B5965358,Toyota,Bentley,2007
1N6AA0EC5DN898587,Lexus,Ford,2007
1GYFC66868R938250,Infiniti,Ford,1992
WAULD64B83N251210,Dodge,Toyota,1998
1FTWW3B59AE850195,BMW,Dodge,1992
1FTWX3D59AE045467,Ford,Kia,2009
WBAUC9C57BV241755,Subaru,Mercury,2011
1G6DG577890351669,Jeep,Honda,1993
3C63DRKL0CG447934,Chevrolet,Chevrolet,2001
WBAWC3C50AP419997,Pontiac,Pontiac,2009
JH4CU2F68BC172608,Nissan,Mitsubishi,1993
2C4RDGBG7DR878745,Saab,Suzuki,2009
KNDJN2A23F7443390,Chevrolet,Toyota,1996
4T1BF3EK3BU453281,GMC,Pontiac,2012
KNAFU6A23A5138733,Buick,Suzuki,1987
WBAEV33403K620327,Toyota,Lincoln,2007
1GYS3JEF3DR179777,Ford,Ferrari,2004
2HNYD2H21DH430429,Subaru,Acura,1995
WAUKF98EX7A444130,Chevrolet,Toyota,2004
KNAFK4A6XE5512144,Mazda,Hyundai,1998
WBAPN7C59AA133252,Bentley,Kia,2009
WVGEF9BP5ED502033,Smart,Mercedes-Benz,2011
WAUKF98E68A683420,Chevrolet,Oldsmobile,1995
WAUEF78E17A825091,Suzuki,Pontiac,1991
WBAEV33472K692902,Pontiac,Honda,2001
5TFBW5F18BX119848,Mitsubishi,Suzuki,2000
2C3CDZBG1FH086153,Buick,Lincoln,2000
WAULT68E25A210525,Honda,Honda,1993
1GKS1HE03CR129447,Nissan,Volkswagen,2006
19XFA1E55AE020237,Toyota,Maserati,2003
WAUFL44D33N300769,Suzuki,Land Rover,2007
1G6AY5SX9F0192941,Chevrolet,Bentley,2010
3D73Y4HL6AG389001,Cadillac,Land Rover,2012
5J6TF2H52DL779083,Pontiac,Volkswagen,1984
1GD022CG0CZ876433,Acura,Mercury,2008
1G6DM57T560276768,Ford,Toyota,1966
1G6DE5E51D0590089,Ford,Ford,2000
WBA4A9C58FD315802,Mercedes-Benz,Ford,2002
55SWF4JB0FU159948,Cadillac,Ford,2008
WBAKX8C54BC530979,Chrysler,Mercedes-Benz,2002
WBAAZ334X3K674303,Chevrolet,Mercedes-Benz,1996
1G6KF57952U564878,Dodge,Acura,1995
2C3CDXCT2DH489040,Acura,Subaru,1999
SAJWA4EB9EL332468,Saab,Lexus,1994
19XFB2F25CE087169,Jeep,Alfa Romeo,2009
3C4PDCAB6FT878712,Ford,Mercedes-Benz,1958
JN1AZ4EH8AM150841,GMC,Dodge,2006
5N1AN0NU5AC354092,Lexus,Land Rover,1999
2C4JRGAG3DR139534,Subaru,Nissan,2004
1G6AL5SX4D0549521,Mercedes-Benz,Mitsubishi,1990
WAUBF98E18A378617,Buick,Mazda,2001
WAUVT58E23A909038,Dodge,Mercury,1996
WBAWB73589P760571,Infiniti,BMW,2001
2G61V5S81F9104598,Toyota,Chevrolet,2002
1G6KD57Y65U618772,Lexus,Plymouth,2000
WVWAN7AN7DE950096,Lexus,Pontiac,2005
TRUSX28N511947844,Infiniti,GMC,1998
5UXZV4C56DL620684,Lincoln,Kia,1990
SCFEBBAK6EG659082,Smart,Acura,2012
SCFAD02A06G199566,Ford,Isuzu,2001
WAUHFAFL8BA599166,Infiniti,Volkswagen,2003
SCFAD22303K515196,Isuzu,Acura,1998
1G6DN56S250526925,Porsche,Volkswagen,2012
WAUFL44DX3N375713,Mazda,Suzuki,1984
JN8AF5MV8FT289047,Pontiac,Land Rover,1990
WAUVFAFR7BA454367,Mitsubishi,GMC,1993
WAUVT58E52A863283,Eagle,Chrysler,1992
WBA6B2C57FD170099,Mercury,Dodge,1988
WBSBR93421E318152,Saab,Mitsubishi,1996
WBAYG6C57FD254456,BMW,Toyota,2004
WAUEL94F86N398308,Saab,GMC,2005
KNAFT4A26C5030973,Eagle,Chrysler,1994
3GYFNCE32FS274991,Toyota,Hyundai,1995
JM3TB2MA0A0876484,BMW,Subaru,2012
3C3CFFERXFT863751,Chevrolet,Mitsubishi,2000
WAUEH78E98A143488,Acura,Nissan,2006
JTHFE2C20C2889412,Honda,Audi,1997
WBAKB4C53BC084640,Pontiac,Cadillac,1994
2C3CCARG3DH940079,Peugeot,Porsche,2007
SALWG2WF2EA494420,Chevrolet,Pontiac,2004
WAUAGAFD6EN979286,Kia,Isuzu,2011
3D7TP2CT0AG724445,Volkswagen,Hyundai,2010
1GTN1TEX5DZ273012,Dodge,Volvo,1994
5UXZV4C54BL374652,Lotus,Ford,1992
5N1AR2MM5FC317195,Mitsubishi,Isuzu,2006
WAULD64B74N714424,Nissan,Mercedes-Benz,2011
SCFEBBEL7DG160972,Mitsubishi,Pontiac,1994
WAUEH98EX8A840356,Dodge,Audi,2010
WBAWC7C59AE201012,Land Rover,Dodge,2008
1N6AA0CJ2EN418346,Oldsmobile,Chrysler,1992
JH4DC43571S919909,Dodge,Mitsubishi,1997
TRUWT28N341787190,Hyundai,Lamborghini,2011
1G6DM5EGXA0328121,Nissan,Volkswagen,2011
1GD12ZCG5CF891847,Mazda,Hyundai,2002
WBAVT73578F561122,Honda,Volkswagen,2011
2G4GT5GX1E9296001,Ford,Buick,1986
WUARL48HX7K236608,Ford,Ford,2002
YV126MFCXF1390876,Chevrolet,Lexus,1993
WAU3VAFR7CA316727,GMC,Toyota,2012
